date,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,8481,0.05418684590515865
2017-01-01,Free,Education Management,2134,0.013634563042283757
2017-01-01,Free,Licensing Exam,8826,0.05639112156101052
2017-01-01,Free,Non-Education,43876,0.2803327497859616
2017-01-01,Free,Parents,2453,0.015672719373346793
2017-01-01,Free,Preschool,14708,0.09397242419208506
2017-01-01,Free,Professional & Career,2299,0.014688781834212914
2017-01-01,Free,Subject Learning,63598,0.4063406468430939
2017-01-01,Free,Teaching and Learning,10139,0.06478014746284677
2017-01-01,Paid,Education Management,1283,0.013379495896467938
2017-01-01,Paid,Entertainment,12536,0.13072904174444433
2017-01-01,Paid,Hobby,10183,0.10619127569269915
2017-01-01,Paid,Licensing Exams,15334,0.15990739678600108
2017-01-01,Paid,Parents,500,0.00521414493237254
2017-01-01,Paid,Preschool,16673,0.17387087691489472
2017-01-01,Paid,Professional,339,0.0035351902641485825
2017-01-01,Paid,Subject Learning,36376,0.37933947211996705
2017-01-01,Paid,Teaching and Learning,230,0.0023985066688913684
2017-01-01,Paid,Translating,1848,0.01927147967004891
2017-01-01,Paid,Well-being,591,0.006163119310064342
2017-01-02,Free,Cognitive Development,8178,0.052589948876241924
2017-01-02,Free,Education Management,2042,0.01313141056557667
2017-01-02,Free,Licensing Exam,8886,0.05714285714285714
2017-01-02,Free,Non-Education,43695,0.28098774959004535
2017-01-02,Free,Parents,2097,0.013485096942220507
2017-01-02,Free,Preschool,14507,0.09328960483585737
2017-01-02,Free,Professional & Career,2253,0.014488280119610302
2017-01-02,Free,Subject Learning,63705,0.40966528407446706
2017-01-02,Free,Teaching and Learning,10142,0.0652197678531237
2017-01-02,Paid,Education Management,1157,0.012138825356191115
2017-01-02,Paid,Entertainment,13295,0.13948632939547181
2017-01-02,Paid,Hobby,10580,0.111001531779172
2017-01-02,Paid,Licensing Exams,13883,0.145655412636129
2017-01-02,Paid,Parents,487,0.005109427786054515
2017-01-02,Paid,Preschool,17830,0.18706590847094864
2017-01-02,Paid,Professional,359,0.0037664981010134923
2017-01-02,Paid,Subject Learning,35625,0.3737646096061439
2017-01-02,Paid,Teaching and Learning,180,0.0018884948695889376
2017-01-02,Paid,Translating,1595,0.016734162872190865
2017-01-02,Paid,Well-being,323,0.0033887991270957047
2017-01-03,Free,Cognitive Development,8480,0.05391726751357469
2017-01-03,Free,Education Management,1944,0.012360279250753442
2017-01-03,Free,Licensing Exam,8366,0.053192436322944084
2017-01-03,Free,Non-Education,46209,0.29380460077061
2017-01-03,Free,Parents,2150,0.01367006192855962
2017-01-03,Free,Preschool,14875,0.09457775404061598
2017-01-03,Free,Professional & Career,2407,0.01530411119164791
2017-01-03,Free,Subject Learning,62704,0.3986825875201872
2017-01-03,Free,Teaching and Learning,10143,0.06449090146110709
2017-01-03,Paid,Education Management,1137,0.012047682119205297
2017-01-03,Paid,Entertainment,14067,0.14905430463576158
2017-01-03,Paid,Hobby,10991,0.11646092715231789
2017-01-03,Paid,Licensing Exams,14083,0.14922384105960265
2017-01-03,Paid,Parents,390,0.0041324503311258275
2017-01-03,Paid,Preschool,18885,0.20010596026490066
2017-01-03,Paid,Professional,563,0.005965562913907285
2017-01-03,Paid,Subject Learning,32172,0.3408953642384106
2017-01-03,Paid,Teaching and Learning,310,0.0032847682119205297
2017-01-03,Paid,Translating,1209,0.012810596026490066
2017-01-03,Paid,Well-being,568,0.006018543046357616
2017-01-04,Free,Cognitive Development,8403,0.053543096362280884
2017-01-04,Free,Education Management,2146,0.013674102676836223
2017-01-04,Free,Licensing Exam,8500,0.05416117090079585
2017-01-04,Free,Non-Education,45481,0.2898004957340113
2017-01-04,Free,Parents,1819,0.011590490572770312
2017-01-04,Free,Preschool,14258,0.09085058525924085
2017-01-04,Free,Professional & Career,2354,0.014999458388290992
2017-01-04,Free,Subject Learning,63908,0.40721554234447777
2017-01-04,Free,Teaching and Learning,10070,0.06416505776129579
2017-01-04,Paid,Education Management,1100,0.011704867096554513
2017-01-04,Paid,Entertainment,14159,0.15066292110919577
2017-01-04,Paid,Hobby,10120,0.10768477728830152
2017-01-04,Paid,Licensing Exams,14697,0.15638766519823788
2017-01-04,Paid,Parents,384,0.004086062695524484
2017-01-04,Paid,Preschool,18370,0.19547128051246035
2017-01-04,Paid,Professional,645,0.006863308433888783
2017-01-04,Paid,Subject Learning,32104,0.34161186660707826
2017-01-04,Paid,Teaching and Learning,312,0.0033199259401136437
2017-01-04,Paid,Translating,1358,0.014450190470110025
2017-01-04,Paid,Well-being,729,0.007757134648534764
2017-01-05,Free,Cognitive Development,8356,0.05250392711278668
2017-01-05,Free,Education Management,2839,0.01783851712221175
2017-01-05,Free,Licensing Exam,9387,0.05898209236569274
2017-01-05,Free,Non-Education,42615,0.26776625824693684
2017-01-05,Free,Parents,2436,0.01530631479736098
2017-01-05,Free,Preschool,11374,0.07146716933710336
2017-01-05,Free,Professional & Career,2605,0.016368206094879045
2017-01-05,Free,Subject Learning,67876,0.4264907320138234
2017-01-05,Free,Teaching and Learning,11662,0.07327678290920515
2017-01-05,Paid,Cognitive Development,52,0.0005534917880977978
2017-01-05,Paid,Education Management,1049,0.011165632417588266
2017-01-05,Paid,Entertainment,14208,0.1512309870248752
2017-01-05,Paid,Hobby,10849,0.11547754632832707
2017-01-05,Paid,Licensing Exams,14529,0.1546477344090943
2017-01-05,Paid,Parents,359,0.0038212221524444112
2017-01-05,Paid,Preschool,18631,0.1983097212317321
2017-01-05,Paid,Professional,584,0.00621613854325219
2017-01-05,Paid,Subject Learning,31888,0.3394181949781264
2017-01-05,Paid,Teaching and Learning,291,0.0030974251987780604
2017-01-05,Paid,Translating,1156,0.012304548212327964
2017-01-05,Paid,Well-being,353,0.0037573577153562038
2017-01-06,Free,Cognitive Development,9061,0.05635686252557859
2017-01-06,Free,Education Management,3218,0.020015051716953086
2017-01-06,Free,Licensing Exam,9541,0.05934232704519869
2017-01-06,Free,Non-Education,41314,0.25696141909080167
2017-01-06,Free,Parents,2495,0.01551819578427531
2017-01-06,Free,Preschool,12337,0.07673265787198577
2017-01-06,Free,Professional & Career,2783,0.017309474496047368
2017-01-06,Free,Subject Learning,67510,0.4198931452490686
2017-01-06,Free,Teaching and Learning,12520,0.07787086622009093
2017-01-06,Paid,Education Management,979,0.010466782132700409
2017-01-06,Paid,Entertainment,13543,0.14479226805225906
2017-01-06,Paid,Hobby,10275,0.1098531015459619
2017-01-06,Paid,Licensing Exams,15962,0.17065452135052495
