date,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,128.0,0.12475633528265107
2017-01-01,Free,Education Management,95.0,0.09259259259259259
2017-01-01,Free,Licensing Exam,134.0,0.13060428849902533
2017-01-01,Free,Non-Education,106.0,0.10331384015594541
2017-01-01,Free,Parents,105.5,0.10282651072124756
2017-01-01,Free,Preschool,95.0,0.09259259259259259
2017-01-01,Free,Professional & Career,128.5,0.12524366471734893
2017-01-01,Free,Subject Learning,105.0,0.1023391812865497
2017-01-01,Free,Teaching and Learning,129.0,0.12573099415204678
2017-01-01,Paid,Education Management,130.0,0.10612244897959183
2017-01-01,Paid,Entertainment,136.0,0.1110204081632653
2017-01-01,Paid,Hobby,145.0,0.11836734693877551
2017-01-01,Paid,Licensing Exams,120.5,0.09836734693877551
2017-01-01,Paid,Parents,97.0,0.07918367346938776
2017-01-01,Paid,Preschool,120.0,0.09795918367346938
2017-01-01,Paid,Professional,74.0,0.060408163265306125
2017-01-01,Paid,Subject Learning,108.0,0.08816326530612245
2017-01-01,Paid,Teaching and Learning,115.0,0.09387755102040816
2017-01-01,Paid,Translating,113.0,0.09224489795918367
2017-01-01,Paid,Well-being,66.5,0.054285714285714284
2017-01-02,Free,Cognitive Development,129.0,0.1235040689325036
2017-01-02,Free,Education Management,90.5,0.08664432742939206
2017-01-02,Free,Licensing Exam,134.0,0.12829104834849211
2017-01-02,Free,Non-Education,110.0,0.10531354715174725
2017-01-02,Free,Parents,103.0,0.09861177596936334
2017-01-02,Free,Preschool,104.0,0.09956917185256103
2017-01-02,Free,Professional & Career,140.5,0.13451412158927717
2017-01-02,Free,Subject Learning,102.5,0.09813307802776448
2017-01-02,Free,Teaching and Learning,131.0,0.125418860698899
2017-01-02,Paid,Education Management,94.5,0.07875
2017-01-02,Paid,Entertainment,133.0,0.11083333333333334
2017-01-02,Paid,Hobby,154.5,0.12875
2017-01-02,Paid,Licensing Exams,119.5,0.09958333333333333
2017-01-02,Paid,Parents,96.0,0.08
2017-01-02,Paid,Preschool,123.0,0.1025
2017-01-02,Paid,Professional,66.0,0.055
2017-01-02,Paid,Subject Learning,103.5,0.08625
2017-01-02,Paid,Teaching and Learning,180.0,0.15
2017-01-02,Paid,Translating,93.0,0.0775
2017-01-02,Paid,Well-being,37.0,0.030833333333333334
2017-01-03,Free,Cognitive Development,132.0,0.13273001508295626
2017-01-03,Free,Education Management,80.0,0.08044243338360986
2017-01-03,Free,Licensing Exam,140.0,0.14077425842131724
2017-01-03,Free,Non-Education,104.0,0.10457516339869281
2017-01-03,Free,Parents,89.0,0.08949220713926596
2017-01-03,Free,Preschool,107.0,0.10759175465057819
2017-01-03,Free,Professional & Career,113.5,0.11412770236299648
2017-01-03,Free,Subject Learning,105.0,0.10558069381598793
2017-01-03,Free,Teaching and Learning,124.0,0.12468577174459528
2017-01-03,Paid,Education Management,91.0,0.07647058823529412
2017-01-03,Paid,Entertainment,130.5,0.10966386554621849
2017-01-03,Paid,Hobby,152.0,0.12773109243697478
2017-01-03,Paid,Licensing Exams,113.0,0.0949579831932773
2017-01-03,Paid,Parents,84.0,0.07058823529411765
2017-01-03,Paid,Preschool,127.0,0.10672268907563025
2017-01-03,Paid,Professional,80.0,0.06722689075630252
2017-01-03,Paid,Subject Learning,97.0,0.08151260504201681
2017-01-03,Paid,Teaching and Learning,155.0,0.13025210084033614
2017-01-03,Paid,Translating,60.5,0.05084033613445378
2017-01-03,Paid,Well-being,100.0,0.08403361344537816
2017-01-04,Free,Cognitive Development,138.0,0.14234141309953585
2017-01-04,Free,Education Management,81.0,0.08354822073233625
2017-01-04,Free,Licensing Exam,135.0,0.13924703455389376
