month,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,133.0,0.13142292490118576
2017-01-01,Free,Education Management,92.0,0.09090909090909091
2017-01-01,Free,Licensing Exam,136.0,0.13438735177865613
2017-01-01,Free,Non-Education,101.0,0.09980237154150198
2017-01-01,Free,Parents,117.0,0.11561264822134387
2017-01-01,Free,Preschool,93.0,0.09189723320158102
2017-01-01,Free,Professional & Career,99.0,0.09782608695652174
2017-01-01,Free,Subject Learning,104.0,0.10276679841897234
2017-01-01,Free,Teaching and Learning,137.0,0.13537549407114624
2017-01-01,Paid,Cognitive Development,41.5,0.035214255409418756
2017-01-01,Paid,Education Management,75.5,0.06406448875689436
2017-01-01,Paid,Entertainment,118.0,0.10012728044123886
2017-01-01,Paid,Hobby,153.0,0.12982605006364023
2017-01-01,Paid,Licensing Exams,118.0,0.10012728044123886
2017-01-01,Paid,Parents,101.5,0.08612643190496394
2017-01-01,Paid,Preschool,112.0,0.09503606279168435
2017-01-01,Paid,Professional,74.0,0.06279168434450573
2017-01-01,Paid,Subject Learning,102.0,0.08655070004242682
2017-01-01,Paid,Teaching and Learning,102.0,0.08655070004242682
2017-01-01,Paid,Translating,91.0,0.07721680101824353
2017-01-01,Paid,Well-being,90.0,0.07636826474331777
2017-02-01,Free,Cognitive Development,130.0,0.12845849802371542
2017-02-01,Free,Education Management,88.0,0.08695652173913043
2017-02-01,Free,Licensing Exam,142.0,0.14031620553359683
2017-02-01,Free,Non-Education,103.0,0.10177865612648221
2017-02-01,Free,Parents,139.0,0.1373517786561265
2017-02-01,Free,Preschool,86.0,0.08498023715415019
2017-02-01,Free,Professional & Career,81.0,0.0800395256916996
2017-02-01,Free,Subject Learning,103.0,0.10177865612648221
2017-02-01,Free,Teaching and Learning,140.0,0.1383399209486166
2017-02-01,Paid,Cognitive Development,63.5,0.054389721627408995
2017-02-01,Paid,Education Management,86.0,0.07366167023554604
2017-02-01,Paid,Entertainment,114.0,0.09764453961456103
2017-02-01,Paid,Hobby,151.0,0.12933618843683084
2017-02-01,Paid,Licensing Exams,119.0,0.10192719486081371
2017-02-01,Paid,Parents,104.0,0.08907922912205568
2017-02-01,Paid,Preschool,108.0,0.09250535331905782
2017-02-01,Paid,Professional,71.0,0.06081370449678801
2017-02-01,Paid,Subject Learning,100.0,0.08565310492505353
2017-02-01,Paid,Teaching and Learning,77.0,0.06595289079229122
2017-02-01,Paid,Translating,86.0,0.07366167023554604
2017-02-01,Paid,Well-being,88.0,0.07537473233404711
2017-03-01,Free,Cognitive Development,127.0,0.12450980392156863
2017-03-01,Free,Education Management,92.0,0.09019607843137255
2017-03-01,Free,Licensing Exam,133.0,0.1303921568627451
2017-03-01,Free,Non-Education,105.0,0.10294117647058823
2017-03-01,Free,Parents,137.0,0.13431372549019607
2017-03-01,Free,Preschool,97.0,0.09509803921568627
2017-03-01,Free,Professional & Career,88.0,0.08627450980392157
2017-03-01,Free,Subject Learning,104.0,0.10196078431372549
2017-03-01,Free,Teaching and Learning,137.0,0.13431372549019607
2017-03-01,Paid,Cognitive Development,96.5,0.08358596795149416
2017-03-01,Paid,Education Management,75.5,0.06539627544391512
2017-03-01,Paid,Entertainment,116.0,0.10047639670853183
2017-03-01,Paid,Hobby,145.0,0.1255954958856648
2017-03-01,Paid,Licensing Exams,124.0,0.10740580337808575
2017-03-01,Paid,Parents,101.5,0.08791684711996535
2017-03-01,Paid,Preschool,98.0,0.08488523170203552
2017-03-01,Paid,Professional,75.0,0.06496318752706799
