month,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,243963,0.05063970343881204
2017-01-01,Free,Education Management,123599,0.025655598206833535
2017-01-01,Free,Licensing Exam,316135,0.06562053527227016
2017-01-01,Free,Non-Education,1131774,0.2349237372870397
2017-01-01,Free,Parents,83817,0.017397998971692058
2017-01-01,Free,Preschool,326109,0.06769085086151407
2017-01-01,Free,Professional & Career,57025,0.011836750198178645
2017-01-01,Free,Subject Learning,2113404,0.43868189769103977
2017-01-01,Free,Teaching and Learning,421797,0.08755292807262005
2017-01-01,Paid,Cognitive Development,314,0.00010761311372032928
2017-01-01,Paid,Education Management,31453,0.010779475368934767
2017-01-01,Paid,Entertainment,356888,0.12231155710006648
2017-01-01,Paid,Hobby,275610,0.09445621105878967
2017-01-01,Paid,Licensing Exams,581392,0.19925287710856587
2017-01-01,Paid,Parents,14147,0.004848416305100313
2017-01-01,Paid,Preschool,469237,0.16081546064581576
2017-01-01,Paid,Professional,22128,0.007583640064979129
2017-01-01,Paid,Subject Learning,1102462,0.3778323840074575
2017-01-01,Paid,Teaching and Learning,14242,0.004880974412754553
2017-01-01,Paid,Translating,33248,0.01139465224513856
2017-01-01,Paid,Well-being,16739,0.005736738568677044
2017-02-01,Free,Cognitive Development,213454,0.04806441073281034
2017-02-01,Free,Education Management,131842,0.0296874644646396
2017-02-01,Free,Licensing Exam,318389,0.07169310328599489
2017-02-01,Free,Non-Education,974291,0.21938554816157355
2017-02-01,Free,Parents,85809,0.019322003900473745
2017-02-01,Free,Preschool,285373,0.06425873998170231
2017-02-01,Free,Professional & Career,37346,0.008409369153201791
2017-02-01,Free,Subject Learning,2003458,0.45112777552978506
2017-02-01,Free,Teaching and Learning,391037,0.08805158478981868
2017-02-01,Paid,Cognitive Development,1126,0.00040613208959288326
2017-02-01,Paid,Education Management,33618,0.012125531605624821
2017-02-01,Paid,Entertainment,291812,0.10525241325779613
2017-02-01,Paid,Hobby,224144,0.08084553382744869
2017-02-01,Paid,Licensing Exams,653103,0.23556490773479646
2017-02-01,Paid,Parents,13682,0.004934901642815123
2017-02-01,Paid,Preschool,416669,0.15028654674829225
2017-02-01,Paid,Professional,17309,0.006243108648990423
2017-02-01,Paid,Subject Learning,1060316,0.38244081057617013
2017-02-01,Paid,Teaching and Learning,15925,0.005743919650769686
2017-02-01,Paid,Translating,29711,0.010716332605589836
2017-02-01,Paid,Well-being,15082,0.005439861612113557
2017-03-01,Free,Cognitive Development,230408,0.04614259127715014
2017-03-01,Free,Education Management,129395,0.025913252136674256
2017-03-01,Free,Licensing Exam,378896,0.0758794975198217
2017-03-01,Free,Non-Education,1057221,0.21172405685835538
2017-03-01,Free,Parents,95857,0.019196774296264804
2017-03-01,Free,Preschool,347834,0.06965887510110864
2017-03-01,Free,Professional & Career,39364,0.007883220040249201
2017-03-01,Free,Subject Learning,2278995,0.456402272523822
2017-03-01,Free,Teaching and Learning,435421,0.0871994602465539
2017-03-01,Paid,Cognitive Development,1438,0.00046200179788738596
2017-03-01,Paid,Education Management,31388,0.010084361913831203
2017-03-01,Paid,Entertainment,364062,0.11696613250519992
2017-03-01,Paid,Hobby,252697,0.08118669563334406
2017-03-01,Paid,Licensing Exams,755259,0.24265021965968653
2017-03-01,Paid,Parents,15266,0.004904672772287089
2017-03-01,Paid,Preschool,423010,0.1359049934105307
2017-03-01,Paid,Professional,30452,0.009783643080157634
2017-03-01,Paid,Subject Learning,1166083,0.3746400851779671
2017-03-01,Paid,Teaching and Learning,20009,0.006428507631382966
2017-03-01,Paid,Translating,36247,0.01164546534633107
2017-03-01,Paid,Well-being,16631,0.005343221071394378
2017-04-01,Free,Cognitive Development,205483,0.04432141747089913
2017-04-01,Free,Education Management,117457,0.025334751448438064
2017-04-01,Free,Licensing Exam,364377,0.07859387459689518
2017-04-01,Free,Non-Education,1063685,0.22943030295709785
2017-04-01,Free,Parents,88417,0.019071002314179217
2017-04-01,Free,Preschool,348454,0.07515938157124767
2017-04-01,Free,Professional & Career,34465,0.0074338882201181525
2017-04-01,Free,Subject Learning,2011503,0.43386880767248875
2017-04-01,Free,Teaching and Learning,402360,0.086786573748636
2017-04-01,Paid,Cognitive Development,1381,0.00048580420999827983
2017-04-01,Paid,Education Management,36585,0.012869766128013807
2017-04-01,Paid,Entertainment,367046,0.12911838672196135
2017-04-01,Paid,Hobby,224575,0.07900034790757689
2017-04-01,Paid,Licensing Exams,675445,0.2376061003781956
2017-04-01,Paid,Parents,8947,0.003147349939793345
2017-04-01,Paid,Preschool,413521,0.14546722861889838
2017-04-01,Paid,Professional,25445,0.0089509689525027
2017-04-01,Paid,Subject Learning,1029391,0.36211620675911604
2017-04-01,Paid,Teaching and Learning,12822,0.004510486300215745
2017-04-01,Paid,Translating,30802,0.01083543901257568
2017-04-01,Paid,Well-being,16749,0.005891915071152201
2017-05-01,Free,Cognitive Development,220942,0.04355967704539755
2017-05-01,Free,Education Management,116859,0.023039260529225374
2017-05-01,Free,Licensing Exam,393668,0.07761335980984857
2017-05-01,Free,Non-Education,1199552,0.23649689836771967
2017-05-01,Free,Parents,87298,0.01721118070221649
2017-05-01,Free,Preschool,342122,0.06745084153364005
2017-05-01,Free,Professional & Career,47327,0.009330724061190402
2017-05-01,Free,Subject Learning,2223476,0.43836797203878103
2017-05-01,Free,Teaching and Learning,440924,0.08693008591198083
2017-05-01,Paid,Cognitive Development,650,0.00021542410045524084
2017-05-01,Paid,Education Management,33897,0.011234201127894305
2017-05-01,Paid,Entertainment,358271,0.11873878137569167
2017-05-01,Paid,Hobby,275575,0.09133153305069691
2017-05-01,Paid,Licensing Exams,748714,0.24814006145883874
2017-05-01,Paid,Parents,11421,0.0037851671558450854
2017-05-01,Paid,Preschool,410996,0.1362129901395418
2017-05-01,Paid,Professional,39980,0.013250239286462353
2017-05-01,Paid,Subject Learning,1062297,0.3520682702173861
2017-05-01,Paid,Teaching and Learning,11788,0.003906798917179045
2017-05-01,Paid,Translating,42578,0.014111272844897299
2017-05-01,Paid,Well-being,21137,0.007005260325111424
2017-06-01,Free,Cognitive Development,232881,0.04614554211366997
2017-06-01,Free,Education Management,115888,0.022963292773858685
2017-06-01,Free,Licensing Exam,400113,0.079282686400895
2017-06-01,Free,Non-Education,1282453,0.25411900893719275
2017-06-01,Free,Parents,83397,0.01652517713189884
2017-06-01,Free,Preschool,349868,0.06932660254905072
2017-06-01,Free,Professional & Career,55918,0.01108019299089319
2017-06-01,Free,Subject Learning,2117055,0.41949601152286176
2017-06-01,Free,Teaching and Learning,409090,0.08106148557967909
2017-06-01,Paid,Cognitive Development,1823,0.0006097124551913187
2017-06-01,Paid,Education Management,45143,0.015098326585135324
2017-06-01,Paid,Entertainment,376460,0.12590913378021054
2017-06-01,Paid,Hobby,271449,0.09078762273682295
2017-06-01,Paid,Licensing Exams,774163,0.2589231066638929
2017-06-01,Paid,Parents,13930,0.004658965716300092
2017-06-01,Paid,Preschool,395521,0.13228419088849452
2017-06-01,Paid,Professional,35877,0.01199926152216069
2017-06-01,Paid,Subject Learning,1008667,0.3373542693584541
2017-06-01,Paid,Teaching and Learning,10903,0.0036465687871371074
2017-06-01,Paid,Translating,39797,0.013310327251370766
2017-06-01,Paid,Well-being,16201,0.005418514254829705
2017-07-01,Free,Cognitive Development,251702,0.047193906728181384
2017-07-01,Free,Education Management,87926,0.016486048752024522
2017-07-01,Free,Licensing Exam,422295,0.0791799462927484
2017-07-01,Free,Non-Education,1447614,0.27142636965304034
2017-07-01,Free,Parents,78637,0.014744369307291954
2017-07-01,Free,Preschool,414470,0.0777127655784592
2017-07-01,Free,Professional & Career,64873,0.0121636312432055
2017-07-01,Free,Subject Learning,2228534,0.4178481924521099
2017-07-01,Free,Teaching and Learning,337307,0.06324476999293878
2017-07-01,Paid,Cognitive Development,1535,0.0005023846086374806
2017-07-01,Paid,Education Management,40914,0.013390595360126307
2017-07-01,Paid,Entertainment,395624,0.1294823507541333
2017-07-01,Paid,Hobby,290847,0.09519026466995786
2017-07-01,Paid,Licensing Exams,759741,0.24865288921879358
2017-07-01,Paid,Parents,16307,0.0053370591615970004
2017-07-01,Paid,Preschool,437292,0.14311972005231346
2017-07-01,Paid,Professional,27334,0.008946046184037064
2017-07-01,Paid,Subject Learning,1023230,0.33488925283135457
2017-07-01,Paid,Teaching and Learning,10706,0.003503928091252682
2017-07-01,Paid,Translating,32170,0.010528803166037623
2017-07-01,Paid,Well-being,19728,0.006456705901759099
