date,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,8481,0.035161691542288556
2017-01-01,Free,Education Management,2134,0.00884742951907131
2017-01-01,Free,Licensing Exam,8826,0.03659203980099503
2017-01-01,Free,Non-Education,43876,0.18190713101160863
2017-01-01,Free,Parents,2453,0.010169983416252073
2017-01-01,Free,Preschool,14708,0.060978441127694856
2017-01-01,Free,Professional & Career,2299,0.00953150912106136
2017-01-01,Free,Subject Learning,63598,0.26367330016583745
2017-01-01,Free,Teaching and Learning,10139,0.04203565505804312
2017-01-01,Free,Unknown,84686,0.3511028192371476
2017-01-01,Paid,Education Management,1283,0.005488488291510168
2017-01-01,Paid,Entertainment,12536,0.05362719347028174
2017-01-01,Paid,Hobby,10183,0.04356140005646769
2017-01-01,Paid,Licensing Exams,15334,0.06559663247234367
2017-01-01,Paid,Parents,500,0.0021389276272448044
2017-01-01,Paid,Preschool,16673,0.07132468065810525
2017-01-01,Paid,Professional,339,0.0014501929312719774
2017-01-01,Paid,Subject Learning,36376,0.15561126273731402
2017-01-01,Paid,Teaching and Learning,230,0.00098390670853261
2017-01-01,Paid,Translating,1848,0.007905476510296798
2017-01-01,Paid,Unknown,137869,0.5897836260812279
2017-01-01,Paid,Well-being,591,0.002528212455403359
2017-01-02,Free,Cognitive Development,8178,0.03390547263681592
2017-01-02,Free,Education Management,2042,0.008466003316749585
2017-01-02,Free,Licensing Exam,8886,0.0368407960199005
2017-01-02,Free,Non-Education,43695,0.18115671641791045
2017-01-02,Free,Parents,2097,0.00869402985074627
2017-01-02,Free,Preschool,14507,0.060145107794361524
2017-01-02,Free,Professional & Career,2253,0.009340796019900498
2017-01-02,Free,Subject Learning,63705,0.26411691542288557
2017-01-02,Free,Teaching and Learning,10142,0.04204809286898839
2017-01-02,Free,Unknown,85695,0.3552860696517413
2017-01-02,Paid,Education Management,1157,0.004941023735704341
2017-01-02,Paid,Entertainment,13295,0.05677693220932517
2017-01-02,Paid,Hobby,10580,0.04518239509399476
2017-01-02,Paid,Licensing Exams,13883,0.05928801428071164
2017-01-02,Paid,Parents,487,0.002079756749600704
2017-01-02,Paid,Preschool,17830,0.07614386621228039
2017-01-02,Paid,Professional,359,0.0015331266388226954
2017-01-02,Paid,Subject Learning,35625,0.1521382632536449
2017-01-02,Paid,Teaching and Learning,180,0.0007686985932815743
2017-01-02,Paid,Translating,1595,0.006811523646022839
2017-01-02,Paid,Unknown,138848,0.5929570126664446
2017-01-02,Paid,Well-being,323,0.0013793869201663806
2017-01-03,Free,Cognitive Development,8480,0.035157545605306796
2017-01-03,Free,Education Management,1944,0.008059701492537314
2017-01-03,Free,Licensing Exam,8366,0.034684908789386404
2017-01-03,Free,Non-Education,46209,0.19157960199004975
2017-01-03,Free,Parents,2150,0.008913764510779435
2017-01-03,Free,Preschool,14875,0.06167081260364842
2017-01-03,Free,Professional & Career,2407,0.00997927031509121
2017-01-03,Free,Subject Learning,62704,0.25996683250414593
2017-01-03,Free,Teaching and Learning,10143,0.04205223880597015
2017-01-03,Free,Unknown,83922,0.3479353233830846
2017-01-03,Paid,Education Management,1137,0.00485045497011659
2017-01-03,Paid,Entertainment,14067,0.06000998246669312
2017-01-03,Paid,Hobby,10991,0.0468877313777937
2017-01-03,Paid,Licensing Exams,14083,0.06007823864921015
2017-01-03,Paid,Parents,390,0.0016637444488526562
2017-01-03,Paid,Preschool,18885,0.0805636254271344
2017-01-03,Paid,Professional,563,0.0024017644223180653
2017-01-03,Paid,Subject Learning,32172,0.13724611899612219
2017-01-03,Paid,Teaching and Learning,310,0.001322463536267496
2017-01-03,Paid,Translating,1209,0.0051576077914432346
2017-01-03,Paid,Unknown,140036,0.5973951734346937
2017-01-03,Paid,Well-being,568,0.002423094479354638
2017-01-04,Free,Cognitive Development,8403,0.034838308457711444
2017-01-04,Free,Education Management,2146,0.008897180762852404
2017-01-04,Free,Licensing Exam,8500,0.035240464344941956
2017-01-04,Free,Non-Education,45481,0.18856135986733003
2017-01-04,Free,Parents,1819,0.007541459369817579
2017-01-04,Free,Preschool,14258,0.05911276948590381
2017-01-04,Free,Professional & Career,2354,0.009759535655058042
2017-01-04,Free,Subject Learning,63908,0.2649585406301824
2017-01-04,Free,Teaching and Learning,10070,0.041749585406301824
2017-01-04,Free,Unknown,84261,0.3493407960199005
2017-01-04,Paid,Education Management,1100,0.004735093066101899
2017-01-04,Paid,Entertainment,14159,0.060949257020851626
2017-01-04,Paid,Hobby,10120,0.04356285620813747
2017-01-04,Paid,Licensing Exams,14697,0.06326514799318146
2017-01-04,Paid,Parents,384,0.001652977943075572
2017-01-04,Paid,Preschool,18370,0.07907605420390172
2017-01-04,Paid,Professional,645,0.00277648638875975
2017-01-04,Paid,Subject Learning,32104,0.13819584344921398
2017-01-04,Paid,Teaching and Learning,312,0.0013430445787489024
2017-01-04,Paid,Translating,1358,0.005845687621605799
2017-01-04,Paid,Unknown,138330,0.5954594762126143
2017-01-04,Paid,Well-being,729,0.0031380753138075313
2017-01-05,Free,Cognitive Development,8356,0.034643449419568824
2017-01-05,Free,Education Management,2839,0.011770315091210614
2017-01-05,Free,Licensing Exam,9387,0.038917910447761196
2017-01-05,Free,Non-Education,42615,0.17667910447761195
2017-01-05,Free,Parents,2436,0.010099502487562188
2017-01-05,Free,Preschool,11374,0.047155887230514094
2017-01-05,Free,Professional & Career,2605,0.01080016583747927
2017-01-05,Free,Subject Learning,67876,0.2814096185737977
2017-01-05,Free,Teaching and Learning,11662,0.048349917081260366
2017-01-05,Free,Unknown,82050,0.3401741293532338
2017-01-05,Paid,Cognitive Development,52,0.00022137173849186246
2017-01-05,Paid,Education Management,1049,0.00446574910919161
2017-01-05,Paid,Entertainment,14208,0.06048557039408427
2017-01-05,Paid,Hobby,10849,0.04618580751727338
2017-01-05,Paid,Licensing Exams,14529,0.0618521151643898
2017-01-05,Paid,Parents,359,0.0015283164253572811
2017-01-05,Paid,Preschool,18631,0.07931493961234402
2017-01-05,Paid,Professional,584,0.0024861749092163015
2017-01-05,Paid,Subject Learning,31888,0.1357519614813175
2017-01-05,Paid,Teaching and Learning,291,0.0012388303057909995
2017-01-05,Paid,Translating,1156,0.004921264032626788
2017-01-05,Paid,Unknown,140950,0.6000451257774618
2017-01-05,Paid,Well-being,353,0.001502773532454374
2017-01-06,Free,Cognitive Development,9061,0.037566334991708125
2017-01-06,Free,Education Management,3218,0.01334162520729685
2017-01-06,Free,Licensing Exam,9541,0.03955638474295191
2017-01-06,Free,Non-Education,41314,0.17128524046434493
2017-01-06,Free,Parents,2495,0.010344112769485905
2017-01-06,Free,Preschool,12337,0.051148424543946934
2017-01-06,Free,Professional & Career,2783,0.011538142620232172
2017-01-06,Free,Subject Learning,67510,0.2798922056384743
2017-01-06,Free,Teaching and Learning,12520,0.051907131011608626
2017-01-06,Free,Unknown,80421,0.33342039800995027
2017-01-06,Paid,Education Management,979,0.004135897392568058
2017-01-06,Paid,Entertainment,13543,0.05721395136624026
2017-01-06,Paid,Hobby,10275,0.0434079118576474
2017-01-06,Paid,Licensing Exams,15962,0.06743329334031803
2017-01-06,Paid,Parents,187,0.000790002872737719
2017-01-06,Paid,Preschool,17355,0.07331818105007012
2017-01-06,Paid,Professional,661,0.0027924700474846647
2017-01-06,Paid,Subject Learning,32553,0.13752386907075384
2017-01-06,Paid,Teaching and Learning,409,0.0017278672457204658
2017-01-06,Paid,Translating,1241,0.005242746337259408
2017-01-06,Paid,Unknown,143174,0.6048549267451881
2017-01-06,Paid,Well-being,369,0.0015588826740118627
2017-01-07,Free,Cognitive Development,8916,0.03696517412935323
2017-01-07,Free,Education Management,3435,0.01424129353233831
2017-01-07,Free,Licensing Exam,9867,0.04090796019900497
2017-01-07,Free,Non-Education,40304,0.16709784411276948
2017-01-07,Free,Parents,2483,0.01029436152570481
2017-01-07,Free,Preschool,12023,0.049846600331674956
2017-01-07,Free,Professional & Career,2657,0.01101575456053068
2017-01-07,Free,Subject Learning,68168,0.28262023217247095
2017-01-07,Free,Teaching and Learning,12965,0.053752072968490876
2017-01-07,Free,Unknown,80382,0.3332587064676617
2017-01-07,Paid,Education Management,860,0.0037711524378746487
2017-01-07,Paid,Entertainment,12782,0.05604984937315553
2017-01-07,Paid,Hobby,9146,0.04010576767069946
2017-01-07,Paid,Licensing Exams,17200,0.07542304875749298
2017-01-07,Paid,Parents,162,0.0007103798778322013
2017-01-07,Paid,Preschool,16882,0.07402859936767421
2017-01-07,Paid,Professional,1059,0.004643779571754945
2017-01-07,Paid,Subject Learning,33178,0.14548755300442454
2017-01-07,Paid,Teaching and Learning,468,0.0020522085359596927
2017-01-07,Paid,Translating,1092,0.004788486583905949
2017-01-07,Paid,Unknown,134757,0.5909176617100861
2017-01-07,Paid,Well-being,461,0.0020215131091397827
2017-01-08,Free,Cognitive Development,8808,0.03651741293532338
2017-01-08,Free,Education Management,3437,0.014249585406301824
2017-01-08,Free,Licensing Exam,9728,0.04033167495854063
2017-01-08,Free,Non-Education,40006,0.16586235489220563
2017-01-08,Free,Parents,2716,0.011260364842454395
2017-01-08,Free,Preschool,11888,0.049286898839137644
2017-01-08,Free,Professional & Career,2511,0.01041044776119403
2017-01-08,Free,Subject Learning,67976,0.28182421227197346
2017-01-08,Free,Teaching and Learning,12534,0.05196517412935323
2017-01-08,Free,Unknown,81596,0.33829187396351573
2017-01-08,Paid,Education Management,988,0.004183196927805981
2017-01-08,Paid,Entertainment,13313,0.0563673084006893
2017-01-08,Paid,Hobby,9438,0.03996053907351503
2017-01-08,Paid,Licensing Exams,17814,0.07542456485013739
2017-01-08,Paid,Parents,334,0.0014141576658777304
2017-01-08,Paid,Preschool,17444,0.07385798300470398
2017-01-08,Paid,Professional,906,0.003836008518818035
