month,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,243963,0.03325332242895113
2017-01-01,Free,Education Management,123599,0.016847134192053432
2017-01-01,Free,Licensing Exam,316135,0.04309071082941457
2017-01-01,Free,Non-Education,1131774,0.15426620323042323
2017-01-01,Free,Parents,83817,0.011424657534246575
2017-01-01,Free,Preschool,326109,0.04445021468002453
2017-01-01,Free,Professional & Career,57025,0.007772779935936755
2017-01-01,Free,Subject Learning,2113404,0.28806706195052134
2017-01-01,Free,Teaching and Learning,421797,0.05749294622776528
2017-01-01,Free,Unknown,2518877,0.3433349689906631
2017-01-01,Paid,Cognitive Development,314,4.398268538947018e-05
2017-01-01,Paid,Education Management,31453,0.004405692368009572
2017-01-01,Paid,Entertainment,356888,0.04999010389578737
2017-01-01,Paid,Hobby,275610,0.03860531184774483
2017-01-01,Paid,Licensing Exams,581392,0.08143688351577977
2017-01-01,Paid,Parents,14147,0.001981602070716034
2017-01-01,Paid,Preschool,469237,0.0657270807136905
2017-01-01,Paid,Professional,22128,0.003099518669739478
2017-01-01,Paid,Subject Learning,1102462,0.1544243289804015
2017-01-01,Paid,Teaching and Learning,14242,0.0019949089341300455
2017-01-01,Paid,Translating,33248,0.004657122050411161
2017-01-01,Paid,Unknown,4221313,0.5912887949346514
2017-01-01,Paid,Well-being,16739,0.002344669333548858
2017-02-01,Free,Cognitive Development,213454,0.0316059583037195
2017-02-01,Free,Education Management,131842,0.019521736555318647
2017-02-01,Free,Licensing Exam,318389,0.04714359748874674
2017-02-01,Free,Non-Education,974291,0.14426246742478085
2017-02-01,Free,Parents,85809,0.012705668088130775
2017-02-01,Free,Preschool,285373,0.04225494551054253
2017-02-01,Free,Professional & Career,37346,0.005529791518597489
2017-02-01,Free,Subject Learning,2003458,0.29665037905709546
2017-02-01,Free,Teaching and Learning,391037,0.057900527126273395
2017-02-01,Free,Unknown,2312601,0.3424249289267946
2017-02-01,Paid,Cognitive Development,1126,0.00017045851068612882
2017-02-01,Paid,Education Management,33618,0.005089231094357263
2017-02-01,Paid,Entertainment,291812,0.04417570063973412
2017-02-01,Paid,Hobby,224144,0.03393184051441533
2017-02-01,Paid,Licensing Exams,653103,0.09886941803254244
2017-02-01,Paid,Parents,13682,0.002071237427360226
2017-02-01,Paid,Preschool,416669,0.06307706677538065
2017-02-01,Paid,Professional,17309,0.002620307603433573
2017-02-01,Paid,Subject Learning,1060316,0.16051499664002963
2017-02-01,Paid,Teaching and Learning,15925,0.0024107919917198944
2017-02-01,Paid,Translating,29711,0.004497773366781148
2017-02-01,Paid,Unknown,3833216,0.5802880022186856
2017-02-01,Paid,Well-being,15082,0.002283175184874063
2017-03-01,Free,Cognitive Development,230408,0.03081474348686674
2017-03-01,Free,Education Management,129395,0.017305274701760017
2017-03-01,Free,Licensing Exam,378896,0.0506735141496817
2017-03-01,Free,Non-Education,1057221,0.14139263360616272
2017-03-01,Free,Parents,95857,0.012819905847108543
2017-03-01,Free,Preschool,347834,0.04651928529396031
2017-03-01,Free,Professional & Career,39364,0.00526453752741668
2017-03-01,Free,Subject Learning,2278995,0.30479256941100946
2017-03-01,Free,Teaching and Learning,435421,0.058233162146257955
2017-03-01,Free,Unknown,2483809,0.33218437382977584
2017-03-01,Paid,Cognitive Development,1438,0.00019492062338814336
2017-03-01,Paid,Education Management,31388,0.00425463736224412
2017-03-01,Paid,Entertainment,364062,0.049348534069495305
2017-03-01,Paid,Hobby,252697,0.03425302974152549
2017-03-01,Paid,Licensing Exams,755259,0.10237521216933641
2017-03-01,Paid,Parents,15266,0.0020693033634515967
2017-03-01,Paid,Preschool,423010,0.057338924130332765
2017-03-01,Paid,Professional,30452,0.004127762742291892
2017-03-01,Paid,Subject Learning,1166083,0.1580623263437527
2017-03-01,Paid,Teaching and Learning,20009,0.002712216101094131
2017-03-01,Paid,Translating,36247,0.00491327387757304
2017-03-01,Paid,Unknown,4264820,0.5780955306246325
2017-03-01,Paid,Well-being,16631,0.0022543288508819277
2017-04-01,Free,Cognitive Development,205483,0.029914761353627556
2017-04-01,Free,Education Management,117457,0.017099702283463993
2017-04-01,Free,Licensing Exam,364377,0.053046972244666216
