year,country,rank_bin,app_type,unknown_ratio
2017,be,"[0, 10)",Free,7.591062136516682
2017,be,"[0, 10)",Paid,66.7584940312213
2017,be,"[10, 20)",Free,15.041322314049587
2017,be,"[10, 20)",Paid,70.68870523415978
2017,be,"[20, 30)",Free,26.72176308539945
2017,be,"[20, 30)",Paid,58.95316804407713
2017,be,"[30, 40)",Free,31.101928374655646
2017,be,"[30, 40)",Paid,49.03581267217631
2017,be,"[40, 50)",Free,35.06887052341598
2017,be,"[40, 50)",Paid,43.112947658402206
2017,be,"[50, 60)",Free,35.84022038567493
2017,be,"[50, 60)",Paid,45.56473829201102
2017,be,"[60, 70)",Free,32.47933884297521
2017,be,"[60, 70)",Paid,49.17355371900827
2017,be,"[70, 80)",Free,32.97520661157024
2017,be,"[70, 80)",Paid,51.92837465564738
2017,be,"[80, 90)",Free,32.231404958677686
2017,be,"[80, 90)",Paid,52.5068870523416
2017,be,"[90, 100)",Free,31.34986225895317
2017,be,"[90, 100)",Paid,48.78787878787879
2017,be,"[100, 110)",Free,32.28389947528307
2017,be,"[100, 110)",Paid,46.50137741046832
2017,be,"[110, 120)",Free,33.0939226519337
2017,be,"[110, 120)",Paid,46.47382920110193
2017,be,"[120, 130)",Free,32.95580110497237
2017,be,"[120, 130)",Paid,48.71155444721529
2017,be,"[130, 140)",Free,33.370165745856355
2017,be,"[130, 140)",Paid,50.169204737732656
2017,be,"[140, 150)",Free,34.972375690607734
2017,be,"[140, 150)",Paid,51.046745053054195
2017,be,"[150, 160)",Free,35.42415031776734
2017,be,"[150, 160)",Paid,49.67474866942638
2017,be,"[160, 170)",Free,33.71191135734072
2017,be,"[160, 170)",Paid,50.28901734104046
2017,be,"[170, 180)",Free,37.61772853185595
2017,be,"[170, 180)",Paid,51.46469318532223
2017,be,"[180, 190)",Free,38.310249307479225
2017,be,"[180, 190)",Paid,48.88751545117429
2017,be,"[190, 200)",Free,41.41274238227147
2017,be,"[190, 200)",Paid,50.71207430340557
2017,ch,"[0, 10)",Free,10.07040097949189
2017,ch,"[0, 10)",Paid,25.607879347491536
2017,ch,"[10, 20)",Free,40.52341597796143
2017,ch,"[10, 20)",Paid,49.05817174515236
2017,ch,"[20, 30)",Free,33.553719008264466
2017,ch,"[20, 30)",Paid,55.26315789473685
2017,ch,"[30, 40)",Free,23.69146005509642
2017,ch,"[30, 40)",Paid,54.958448753462605
2017,ch,"[40, 50)",Free,24.21487603305785
2017,ch,"[40, 50)",Paid,54.21052631578947
2017,ch,"[50, 60)",Free,26.225895316804408
